"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"xlib_libXt","1.3.0","MIT","COPYING","libXt-1.3.0.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xauth","1.1.2","MIT","COPYING","xauth-1.1.2.tar.xz","http://xorg.freedesktop.org/releases/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXmu [MIT] xlib_libXt [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xconsole","1.0.8","MIT","COPYING","xconsole-1.0.8.tar.xz","https://xorg.freedesktop.org/releases/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXaw [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXmu [MIT] xlib_libXpm [MIT] xlib_libXt [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libXaw","1.0.15","MIT","COPYING","libXaw-1.0.15.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXmu [MIT] xlib_libXpm [MIT] xlib_libXt [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libXpm","3.5.17","MIT","COPYING COPYRIGHT","libXpm-3.5.17.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXt [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xdm","1.1.14","MIT","COPYING","xdm-1.1.14.tar.xz","https://xorg.freedesktop.org/archive/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xapp_sessreg [MIT] xapp_xrdb [MIT] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXaw [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXinerama [MIT] xlib_libXmu [MIT] xlib_libXpm [MIT] xlib_libXt [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xrdb","1.2.2","MIT","COPYING","xrdb-1.2.2.tar.xz","https://xorg.freedesktop.org/archive/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXmu [MIT] xlib_libXt [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xlib_libXinerama","1.1.5","MIT","COPYING","libXinerama-1.1.5.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xinit","1.4.2","MIT","COPYING","xinit-1.4.2.tar.xz","https://xorg.freedesktop.org/archive/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xapp_xauth [MIT] xcb-proto [MIT] xlib_libICE [MIT] xlib_libSM [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXmu [MIT] xlib_libXt [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"xapp_xinput","1.6.4","MIT","COPYING","xinput-1.6.4.tar.xz","https://xorg.freedesktop.org/archive/individual/app","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcb [MIT] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXfixes [MIT] xlib_libXi [MIT] xlib_libXinerama [MIT] xlib_libXrandr [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
